ID,X,Y,Z
86,0.434,-0.2229,0.5851
87,0.4796,-0.8144,0.5068
88,0.0345,-0.0486,0.5606
89,-0.1325,-0.1818,0.7632
90,0.2785,-0.4597,0.0408
91,-0.044,-0.2514,0.3655
92,0.1094,-0.5453,0.1356
93,-0.0949,-0.4178,0.5369
94,-0.0417,-0.3147,0.476
95,-0.0787,-0.3453,0.729
96,-0.0742,-0.2324,0.7281
97,-0.1985,-0.1989,0.7315
98,0.3644,-0.1812,0.5833
99,-0.2251,-0.3554,0.6832
100,-0.1523,-0.4564,0.3891
101,-0.1023,-0.4619,0.2163
102,-0.1118,-0.5365,0.4556
103,-0.1376,-0.58,0.7465
104,-0.153,-0.6531,0.6439
105,-0.1851,-0.7626,0.6542
106,-0.1456,-0.7227,0.722
107,-0.0988,-0.6743,0.8253
108,-0.046,-0.6893,0.7908
109,0.0367,-0.7488,0.6063
110,0.0027,-0.457,0.4495
111,0.2315,-0.5207,0.7871
112,0.4232,-0.4635,0.5474
113,0.1891,-0.5479,0.3957
114,0.1723,-0.5406,0.4909
115,0.3182,-0.5668,0.428
116,0.3587,-0.4253,0.2637
117,-0.0143,-0.8244,0.5202
118,-0.0701,-0.6205,0.7292
119,0.4472,-0.9267,0.8193
120,0.3924,-0.8227,0.435
121,0.4226,-0.6601,0.5305
122,0.5389,-0.6995,0.4372
123,0.3965,-0.9854,0.5381
124,0.5228,-0.8311,0.8287
125,0.5093,-0.886,0.897
126,0.0327,-0.6371,0.5469
127,0.4975,-0.5652,0.138
128,0.5116,-0.55,0.2444
129,0.4876,-0.4981,0.1719
130,0.7377,-0.4769,0.8205
131,0.5815,-0.5034,0.352
132,0.4921,-0.5533,0
133,0.5576,-0.5489,0.4064
134,0.5845,-0.4926,0.2457
135,0.5216,-0.4429,0.3884
136,0.5489,-0.3483,0.3274
137,0.5705,-0.3584,0.9043
138,0.589,-0.2617,0.4851
139,0.5727,-0.3228,0.3182
140,0.5295,-0.2339,0.1955
141,0.8636,-0.4009,0.5892
142,0.5915,-0.2071,0.902
143,0.5587,-0.1789,0.7492
144,0.5052,-0.1061,0.5074
145,0.5037,-0.2182,0.6281
146,0.4606,-0.0881,0.6074
147,0.3457,-0.0702,0.9186
148,0.2056,-0.1624,0.6829
149,0.3482,-0.0485,0.7952
150,0.3246,-0.176,0.7722
151,0.25,-0.0532,0.6449
152,0.4894,-0.6287,0.594
153,-0.1273,-0.2802,0.9064
154,0.0035,-0.4219,0.8689
155,0.1654,-0.1939,0.8435
156,-0.0871,-0.1791,0.8269
157,0.2893,-0.1237,0.6894
158,0.2039,-0.5319,0.6982
159,0.1369,-0.6006,0.5188
160,-0.0323,-0.4766,0.8738
161,0.4048,-0.6264,0.6926
162,-0.0304,-0.4247,0.5399
163,-0.1183,-0.359,0.8728
164,-0.1579,-0.3959,0.546
165,-0.0845,-0.3556,0.7004
166,-0.1333,-0.3438,0.8706
167,0.0008,-0.4068,0.728
168,-0.0638,-0.4723,0.6669
169,-0.0178,-0.5577,0.634
170,-0.0167,-0.6234,0.5845
